epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
65,2.340184825553894,,1.2125252141952514,0.678,0.07814641296863556,0.1,809.3563394677956,2.7789015769958496,61.777486085891724,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
66,2.43141905128479,,1.3103421016693115,0.6844,0.1684170663356781,0.1,809.4919902307845,2.7789769172668457,61.767133712768555,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
67,2.3473958819580076,,1.2114990425109864,0.6846,0.08378572016954422,0.1,808.9329534372981,2.779052257537842,61.81081461906433,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
68,2.339183782348633,,1.1710588480949402,0.6874,0.0696331337094307,0.1,807.054411182068,2.779127597808838,61.953691482543945,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
69,2.2474767278289796,,1.122026356124878,0.6968,0.03939792886376381,0.1,803.9947076216602,2.779202938079834,62.18946409225464,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
70,2.39708836807251,,1.1868088104248047,0.7033,0.12517200410366058,0.1,806.3039215353439,2.77927827835083,62.011356592178345,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
71,2.27344228187561,,1.2047741416931153,0.698,0.12189358472824097,0.1,807.2145881564229,2.779353618621826,61.94139790534973,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
72,2.3347111235046385,,1.1489604497909547,0.7128,0.12463909387588501,0.1,806.8308574776576,2.7794289588928223,61.97085738182068,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
73,2.1848862977600096,,1.0789819125175477,0.7265,0.09543225169181824,0.1,809.0033002820609,2.7795042991638184,61.804445028305054,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
74,2.2479231286621095,,1.0179444520950318,0.7254,0.03943983092904091,0.1,812.1256212983557,2.7795796394348145,61.567830085754395,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
75,2.175778884124756,,0.999025591468811,0.7418,0.09907549619674683,0.1,809.3463785625032,2.7796549797058105,61.77824640274048,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
76,2.1493467917633056,,1.0458921167373658,0.7304,0.08171460777521133,0.1,806.711864003854,2.7797303199768066,61.97999835014343,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
