epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
49,1.2231438828277588,0.64708,1.7464533512115479,0.5372,0.10102240741252899,0.1,780.1946267794505,2.7789158821105957,132026.89399999997,64.08657312393188,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
50,1.210375959892273,0.65076,1.9448882625579833,0.5035,0.14542441070079803,0.1,783.7677725007782,2.778991222381592,131921.48700000002,63.79440665245056,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
51,1.1878763593292236,0.65768,1.7339062677383423,0.531,0.10390585660934448,0.1,781.5389769194802,2.779066562652588,131512.74500000014,63.976335763931274,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
52,1.1658740880584717,0.6627,1.6386942735671997,0.5597,0.09014052152633667,0.1,781.7073344877336,2.779141902923584,132087.7399999999,63.96255707740784,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
53,1.1446385570526123,0.66834,1.7396649005889893,0.5458,0.08911717683076859,0.1,783.6498383453537,2.77921724319458,131983.91900000005,63.80400729179382,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
54,1.1098253379440308,0.68112,1.5361945238113404,0.5794,0.07492955029010773,0.1,779.0211185416117,2.779292583465576,130902.52700000003,64.1831123828888,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
55,1.0952287297821044,0.67926,1.7815302059173583,0.5293,0.08720619976520538,0.1,781.6405735725724,2.7793679237365723,132003.01799999998,63.96802020072937,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
56,1.0688623521614076,0.68912,1.656474810218811,0.5531,0.1123744547367096,0.1,784.1114916304147,2.7794432640075684,131979.64600000004,63.76744270324707,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
57,1.0465868406486512,0.69578,1.57748688621521,0.5718,0.08961072564125061,0.1,783.728851594238,2.7795186042785645,132065.86099999998,63.79757475852966,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
58,1.0177804426193238,0.70216,1.460829069519043,0.6011,0.08031190931797028,0.1,781.4725155765399,2.7795939445495605,131960.48799999987,63.98177671432495,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
59,1.0029319563293457,0.70564,1.3988442489624024,0.6152,0.07538384199142456,0.1,784.1753267107092,2.7796692848205566,132080.519,63.762251138687134,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
60,0.9705084944915772,0.71596,1.8145602750778198,0.5345,0.10054296255111694,0.1,783.5635013506243,2.7797446250915527,131468.51899999997,63.81103754043579,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
61,0.9429602091217041,0.72264,1.5839375129699707,0.5778,0.0961473286151886,0.1,784.0310147815735,2.779819965362549,131953.06299999994,63.772987365722656,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
62,0.9171024157333374,0.73154,1.3932368955612182,0.6117,0.07983644306659698,0.1,784.4934930438837,2.779895305633545,131428.27499999994,63.73639154434204,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
63,0.8992408935546875,0.73438,1.3560376876831055,0.6209,0.07576407492160797,0.1,781.3103252567398,2.779970645904541,131955.93700000006,63.99505853652954,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
64,0.8514341623687744,0.74786,1.3918041505813599,0.6262,0.08611837029457092,0.1,781.7097645973578,2.780045986175537,131906.36000000013,63.962358236312866,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
65,0.8361168916702271,0.75244,1.4039138723373412,0.6203,0.07635489106178284,0.1,783.8631169343804,2.780121326446533,131745.783,63.78664708137512,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
66,0.7988018980407715,0.76172,1.3547581043243409,0.6304,0.08559609949588776,0.1,784.1597803925453,2.7801966667175293,131363.64700000006,63.76251530647278,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
67,0.767092740020752,0.77256,1.262105242729187,0.6566,0.05412828177213669,0.1,780.8861010334024,2.7802720069885254,131971.01399999994,64.02982449531555,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
68,0.7426280770492554,0.77912,1.3279169986724852,0.6417,0.07363211363554001,0.1,779.5866358766763,2.7803473472595215,131402.31600000008,64.13655352592468,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
69,0.7055811039733887,0.78934,1.3635841510772706,0.6392,0.0940982773900032,0.1,784.0431117834077,2.7804226875305176,131930.82799999998,63.772003412246704,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
70,0.653124400062561,0.80542,1.4063934238433837,0.6278,0.09905603528022766,0.1,783.7347621211334,2.7804980278015137,131844.07,63.797093629837036,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
71,0.6290884377670288,0.81142,1.27585844039917,0.6586,0.0871797651052475,0.1,781.6421700608207,2.7805733680725098,131254.10400000002,63.96788954734802,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
72,0.5965332222557068,0.8198,1.1979101091384887,0.6743,0.07836196571588516,0.1,781.120809091027,2.780648708343506,131827.57100000003,64.01058506965637,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
73,0.5573812393569947,0.8336,1.2730306910514833,0.6641,0.09848559647798538,0.1,781.9669987384248,2.780724048614502,131856.25599999996,63.941317319869995,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
74,0.5204074000549317,0.8437,1.1008339277267456,0.6987,0.07842081785202026,0.1,784.1314543689846,2.780799388885498,131990.181,63.76481866836548,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
75,0.4676987286376953,0.85906,1.204368614578247,0.6812,0.09358268231153488,0.1,783.8266972280859,2.780874729156494,131929.279,63.790611028671265,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
76,0.44407491550445555,0.86644,1.2049525863647461,0.6742,0.09782171249389648,0.1,781.6008906995471,2.7809500694274902,131505.439,63.97126793861389,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
77,0.40304916246414185,0.88066,1.0898407849311829,0.7089,0.08120296150445938,0.1,781.4827544473785,2.7810254096984863,131808.92099999994,63.98093843460083,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
78,0.3570293059825897,0.89244,1.1439643164634705,0.6999,0.08902739733457565,0.1,784.119158210347,2.7811007499694824,131959.47900000014,63.76581859588623,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
79,0.32192866720199587,0.90582,1.069172347831726,0.7184,0.08375817537307739,0.1,783.8225196227911,2.7811760902404785,132051.262,63.78995084762573,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
80,0.27790723078727725,0.92038,1.032267025756836,0.7266,0.08499401807785034,0.1,783.7406053708837,2.7812514305114746,131596.337,63.79661798477173,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
81,0.2332432764339447,0.93566,1.0157313776016235,0.7332,0.08268889784812927,0.1,784.1955976662624,2.7813267707824707,131990.06899999987,63.75960302352905,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
82,0.19910370497226715,0.9463,1.0432827169418335,0.7329,0.08695432543754578,0.1,783.8402352017065,2.781402111053467,132028.48199999996,63.788509130477905,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
83,0.16275966737270356,0.95852,0.9854661545753479,0.7494,0.08279600739479065,0.1,784.0228135373646,2.781477451324463,131980.15600000002,63.77365446090698,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
84,0.13083723855495452,0.96912,1.011326250553131,0.7435,0.08824314922094345,0.1,783.5431049753932,2.781552791595459,131886.5310000001,63.81269860267639,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
85,0.10918887376308441,0.97512,0.954592732334137,0.7566,0.08005091547966003,0.1,781.6866879068509,2.781628131866455,131938.73199999993,63.96424651145935,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
86,0.08520509510993958,0.98338,0.9203424140930175,0.7609,0.08293960988521576,0.1,781.7158195405375,2.781703472137451,131444.8999999999,63.96186280250549,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
