epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,outdir,_cfg_file
54,2.573672733078003,,1.3065564727783203,0.6478,0.06839342415332794,0.1,811.9880993241992,2.7780728340148926,61.57725715637207,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
55,2.5993776271057127,,1.488040980911255,0.62,0.09777548909187317,0.1,814.3086483456566,2.7781481742858887,61.40177941322327,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
56,2.622197850189209,,1.5530138725280762,0.6087,0.12594947218894958,0.1,812.3002864632532,2.7782235145568848,61.5545916557312,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
57,2.608285020904541,,1.337282684135437,0.65,0.09693033248186111,0.1,813.6291100873801,2.778298854827881,61.45306181907654,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
58,2.477244652481079,,1.3730949565887451,0.6483,0.09472063183784485,0.1,810.0411119565091,2.778374195098877,61.72526216506958,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
59,2.5148585537719725,,1.3164601909637452,0.6409,0.020793169736862183,0.1,809.2651043641507,2.778449535369873,61.78445076942444,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
60,2.461802356262207,,1.2901238458633424,0.6677,0.10955628752708435,0.1,814.2964846965136,2.778524875640869,61.40269660949707,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
61,2.484479356994629,,1.230863344192505,0.6739,0.07680816948413849,0.1,812.1540685489523,2.7786002159118652,61.56467342376709,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
62,2.4757789490509032,,1.3034991329193115,0.6443,0.030917519703507423,0.1,814.8773399102885,2.7786755561828613,61.358927965164185,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
63,2.494476716308594,,1.2571462425231934,0.6732,0.0976257473230362,0.1,814.6842624159158,2.7787508964538574,61.373469829559326,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
64,2.4239912699127197,,1.2447524021148682,0.6801,0.10341259837150574,0.1,811.4244962381555,2.7788262367248535,61.62002778053284,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
65,2.3889063424682617,,1.255997703552246,0.6727,0.08695147931575775,0.1,812.0735470784199,2.7789015769958496,61.570777893066406,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
66,2.3288879318237306,,1.2479775405883788,0.6919,0.1482173651456833,0.1,812.1844018979308,2.7789769172668457,61.562374114990234,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
67,2.279292777519226,,1.1919840831756592,0.6787,0.0352005660533905,0.1,814.7837922771282,2.779052257537842,61.36597275733948,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
68,2.327608787689209,,1.1974759262084962,0.7024,0.13807936012744904,0.1,812.1559871196207,2.779127597808838,61.56452798843384,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
69,2.27904491065979,,1.1097651876449586,0.7111,0.08366687595844269,0.1,813.8994069882144,2.779202938079834,61.432653188705444,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
70,2.291575611114502,,1.096487170982361,0.7064,0.06841006875038147,0.1,815.1424406368706,2.77927827835083,61.33997297286987,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
71,2.281091520385742,,1.226740638923645,0.6865,0.10134977102279663,0.1,809.2205311973713,2.779353618621826,61.787853956222534,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
72,2.1641785837936403,,1.0764792791366578,0.7161,0.06899957358837128,0.1,809.623069908931,2.7794289588928223,61.75713348388672,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
73,2.2635288540649414,,1.1178397806167601,0.7141,0.10473838448524475,0.1,814.1759808131459,2.7795042991638184,61.411784648895264,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
74,2.1911396793365476,,1.002523983192444,0.7298,0.05962033569812775,0.1,809.7330628302758,2.7795796394348145,61.74974465370178,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
75,2.1164978659820557,,1.0539516786575318,0.7298,0.10304562747478485,0.1,811.4184495250054,2.7796549797058105,61.62048697471619,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
76,2.148454536113739,,1.009793642807007,0.7375,0.07568470388650894,0.1,809.8483583323807,2.7797303199768066,61.73995351791382,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
77,2.180393855895996,,1.0904510009765624,0.732,0.13244616985321045,0.1,814.7156491255457,2.7798056602478027,61.371105432510376,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
78,2.1374445780944824,,1.1642455377578735,0.7282,0.17684265971183777,0.1,811.9379791400802,2.779881000518799,61.58105826377869,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
79,2.0806594550323485,,1.0014170610427857,0.756,0.12989017367362976,0.1,811.6990415961195,2.779956340789795,61.60018563270569,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
80,2.068828995666504,,0.8868848531723023,0.7639,0.05963442102074623,0.1,814.3704966527216,2.780031681060791,61.39711618423462,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
81,2.0211874906921388,,0.9538699802398681,0.7577,0.10212627053260803,0.1,812.1229260679605,2.780107021331787,61.56703424453735,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
